movie_title,genre,mpaa_rating,total_gross,inflation_adjusted_gross,runtime,imdb_rating,rotten_tomatoes_critic_rating,release_year,release_month
The Scarlet Letter,Drama,R,10359006,20075033,135.0,1.0,13.0,1995,10
Feast of July,Drama,R,293274,568342,116.0,6.4,,1995,10
Powder,Drama,PG-13,30833914,59727216,111.0,6.5,50.0,1995,10
Toy Story,Adventure,G,191796233,370409631,81.0,8.3,100.0,1995,11
Father of the Bride Part II,Comedy,PG,76578911,147658438,106.0,6.1,48.0,1995,12
Nixon,Drama,R,13668249,26302005,192.0,7.1,75.0,1995,12
Tom and Huck,Adventure,PG,23837227,45911517,97.0,5.6,,1995,12
Mr. Holland's Opus,Drama,PG,82582604,157508868,143.0,7.3,75.0,1995,12
White Squall,Adventure,PG-13,10229300,19509726,129.0,6.6,58.0,1996,2
Muppet Treasure Island,Adventure,G,34327391,65470567,100.0,6.9,70.0,1996,2
Mr. Wrong,Romantic Comedy,PG-13,12805071,24422334,96.0,3.9,13.0,1996,2
Before and After,Drama,PG-13,8642118,16482589,108.0,6.1,47.0,1996,2
Up Close & Personal,Drama,PG-13,51045801,97356578,124.0,6.2,29.0,1996,3
Homeward Bound II: Lost in San Franc…,Adventure,G,32709423,62384706,,5.9,53.0,1996,3
Two Much,Romantic Comedy,PG-13,1078555,2057055,118.0,5.5,20.0,1996,3
Un indien dans la ville,Comedy,PG,1029731,1963937,90.0,5.9,53.0,1996,3
James and the Giant Peach,Adventure,PG,28921264,55159783,79.0,6.7,91.0,1996,4
Celtic Pride,Comedy,PG-13,9240378,17623615,91.0,5.3,11.0,1996,4
Last Dance,Drama,R,5857534,11171714,103.0,6.2,45.0,1996,5
Boys,Drama,PG-13,21930418,41826566,86.0,8.3,,1996,5
Spy Hard,Comedy,PG-13,26936265,51373912,81.0,5.4,8.0,1996,5
Eddie,Comedy,PG-13,31369401,59828966,100.0,5.2,13.0,1996,5
The Rock,Action,R,134069511,255702705,136.0,7.4,66.0,1996,6
The Hunchback of Notre Dame,Adventure,G,100138851,190988799,91.0,7.0,71.0,1996,6
Phenomenon,Drama,PG,104636382,199559799,123.0,6.4,50.0,1996,7
Kazaam,Comedy,PG,18880508,36009655,93.0,2.9,6.0,1996,7
Jack,Drama,PG-13,58617334,111792852,113.0,5.8,18.0,1996,8
First Kid,Comedy,PG,26465920,50465108,101.0,5.3,34.0,1996,8
The Rich Man's Wife,Thriller/Suspense,R,8538318,16284619,94.0,5.2,17.0,1996,9
D3: The Mighty Ducks,Comedy,PG,22936273,43713554,104.0,3.0,20.0,1996,10
The Associate,Comedy,PG-13,12772657,24333094,114.0,6.1,14.0,1996,10
Ransom,Action,R,136492681,259807820,121.0,7.2,76.0,1996,11
The War at Home,,R,34368,65543,119.0,7.1,82.0,1996,11
101 Dalmatians,Comedy,G,136189294,258728898,79.0,1.0,98.0,1996,11
101 Dalmatians,Comedy,G,136189294,258728898,103.0,1.0,98.0,1996,11
The Preacher's Wife,Drama,PG,48102795,91076877,124.0,5.6,64.0,1996,12
Evita,Musical,PG,50047179,92077628,135.0,6.3,64.0,1996,12
Metro,Action,R,32017895,58804106,117.0,5.5,17.0,1997,1
Prefontaine,Drama,PG-13,590817,1085093,106.0,6.8,62.0,1997,1
Shadow Conspiracy,Thriller/Suspense,R,2154540,3957025,103.0,4.9,0.0,1997,1
That Darn Cat,Comedy,PG,18301828,33613158,89.0,1.0,13.0,1997,2
Jungle 2 Jungle,Comedy,PG,59925026,110058379,105.0,2.0,19.0,1997,3
The Sixth Man,Comedy,PG-13,14765099,27117599,107.0,5.7,39.0,1997,3
Grosse Pointe Blank,Black Comedy,R,28084357,51579764,107.0,7.3,80.0,1997,4
Romy and Michele's High School Reunion,Comedy,R,29235353,53693680,92.0,6.2,71.0,1997,4
Gone Fishin',Comedy,PG,19745922,36265379,94.0,4.7,6.0,1997,5
Con Air,Action,R,101117573,185712664,115.0,6.9,56.0,1997,6
Hercules,Adventure,G,99112101,182029412,93.0,1.0,84.0,1997,6
George Of The Jungle,Comedy,PG,105263257,193326632,92.0,1.0,57.0,1997,7
Nothing To Lose,Comedy,R,44480039,81692095,97.0,1.0,27.0,1997,7
Air Bud,Comedy,PG,24646936,45266588,98.0,1.0,46.0,1997,8
G.I. Jane,Drama,R,48169156,88467531,125.0,1.0,55.0,1997,8
A Thousand Acres,Drama,R,7928412,14561324,105.0,1.0,23.0,1997,9
Washington Square,Drama,PG,1775644,3257546,115.0,1.0,68.0,1997,10
Rocket Man,Comedy,PG,15448043,28371890,95.0,1.0,23.0,1997,10
Playing God,Thriller/Suspense,R,4166918,7652965,94.0,5.6,,1997,10
Flubber,Comedy,PG,92993801,170406423,93.0,5.3,24.0,1997,11
An American Werewolf in Paris,Horror,R,26570463,48546161,98.0,5.1,7.0,1997,12
Mr. Magoo,Comedy,PG,21437192,39145784,87.0,3.9,3.0,1997,12
Kundun,Drama,PG-13,5686694,10236836,134.0,7.0,76.0,1997,12
Deep Rising,Action,R,11203026,20136775,106.0,6.1,29.0,1998,1
Krippendorf's Tribe,Comedy,PG-13,7571115,13608633,94.0,4.8,13.0,1998,2
An Alan Smithee Film: Burn Hollywood …,Comedy,R,45779,82277,,3.9,0.0,1998,2
Meet the Deedles,Comedy,PG,4356126,7829877,93.0,4.2,8.0,1998,3
He Got Game,Drama,R,21567853,38766948,136.0,7.3,81.0,1998,5
The Horse Whisperer,Drama,PG-13,75383563,135497531,169.0,6.6,74.0,1998,5
"Six Days, Seven Nights",Romantic Comedy,PG-13,74339294,133620516,102.0,5.8,36.0,1998,6
Mulan,Adventure,G,120620254,216807832,88.0,2.0,75.0,1998,6
Armageddon,Adventure,PG-13,201578182,362324957,151.0,6.7,38.0,1998,7
